Time (s),C2 (V)
0,3.314139880240466
0.01,3.314139880240466
0.02,3.314139880240466
0.03,3.317811534709968
0.04,3.317811534709968
0.05,3.317811534709968
0.06,3.314139880240466
0.07000000000000001,3.314139880240466
0.08,3.314139880240466
0.09,3.314139880240466
0.1,3.314139880240466
0.11,3.314139880240466
0.12,3.314139880240466
0.13,3.317811534709968
0.14,3.314139880240466
0.15,3.317811534709968
0.16,3.317811534709968
0.17,3.317811534709968
0.18,3.317811534709968
0.19,3.317811534709968
0.2,3.317811534709968
0.21,3.317811534709968
0.22,3.317811534709968
0.23,3.317811534709968
0.24,3.317811534709968
0.25,3.317811534709968
0.26,3.317811534709968
0.27,3.317811534709968
0.28,3.317811534709968
0.29,3.317811534709968
0.3,3.317811534709968
0.31,3.314139880240466
0.32,3.317811534709968
0.33,3.317811534709968
0.34,3.314139880240466
0.35,3.314139880240466
0.36,3.317811534709968
0.37,3.317811534709968
0.38,3.317811534709968
0.39,3.317811534709968
0.4,3.317811534709968
0.41,3.317811534709968
0.42,3.317811534709968
0.43,3.317811534709968
0.44,3.317811534709968
0.45,3.317811534709968
0.46,3.314139880240466
0.47,3.317811534709968
0.48,3.317811534709968
0.49,3.314139880240466
0.5,3.314139880240466
0.51,3.317811534709968
0.52,3.317811534709968
0.53,3.317811534709968
0.54,3.317811534709968
0.55,3.314139880240466
0.5600000000000001,3.314139880240466
0.5700000000000001,3.317811534709968
0.58,3.317811534709968
0.59,3.314139880240466
0.6,3.314139880240466
0.61,3.314139880240466
0.62,3.314139880240466
0.63,3.314139880240466
0.64,3.314139880240466
0.65,3.314139880240466
0.66,3.314139880240466
0.67,3.314139880240466
0.68,3.314139880240466
0.6900000000000001,3.314139880240466
0.7000000000000001,3.317811534709968
0.71,3.314139880240466
0.72,3.314139880240466
0.73,3.314139880240466
0.74,3.314139880240466
0.75,3.314139880240466
0.76,3.314139880240466
0.77,3.314139880240466
0.78,3.317811534709968
0.79,3.314139880240466
0.8,3.317811534709968
0.8100000000000001,3.317811534709968
0.8200000000000001,3.317811534709968
0.8300000000000001,3.314139880240466
0.84,3.317811534709968
0.85,3.317811534709968
0.86,3.314139880240466
0.87,3.314139880240466
0.88,3.314139880240466
0.89,3.314139880240466
0.9,3.314139880240466
0.91,3.314139880240466
0.92,3.314139880240466
0.93,3.314139880240466
0.9400000000000001,3.314139880240466
0.9500000000000001,3.314139880240466
0.96,3.314139880240466
0.97,3.314139880240466
0.98,3.314139880240466
0.99,3.314139880240466
1,3.317811534709968
1.01,3.314139880240466
1.02,3.317811534709968
1.03,3.317811534709968
1.04,3.314139880240466
1.05,3.314139880240466
1.06,3.314139880240466
1.07,3.314139880240466
1.08,3.314139880240466
1.09,3.317811534709968
1.1,3.317811534709968
1.11,3.314139880240466
1.12,3.314139880240466
1.13,3.314139880240466
1.14,3.314139880240466
1.15,3.317811534709968
1.16,3.314139880240466
1.17,3.314139880240466
1.18,3.314139880240466
1.19,3.314139880240466
1.2,3.314139880240466
1.21,3.317811534709968
1.22,3.317811534709968
1.23,3.317811534709968
1.24,3.314139880240466
1.25,3.314139880240466
1.26,3.314139880240466
1.27,3.314139880240466
1.28,3.314139880240466
1.29,3.314139880240466
1.3,3.314139880240466
1.31,3.314139880240466
1.32,3.314139880240466
1.33,3.314139880240466
1.34,3.314139880240466
1.35,3.314139880240466
1.36,3.314139880240466
1.37,3.317811534709968
1.38,3.317811534709968
1.39,3.317811534709968
1.4,3.317811534709968
1.41,3.317811534709968
1.42,3.317811534709968
1.43,3.317811534709968
1.44,3.317811534709968
1.45,3.317811534709968
1.46,3.317811534709968
1.47,3.317811534709968
1.48,3.317811534709968
