Time (s),Channel 2 (V)
-94,-0.005035760188790634
-93.97499999999999,-0.005035760188790634
-93.95,-0.005035760188790634
-93.925,-0.005035760188790634
-93.90000000000001,-0.005035760188790634
-93.875,-0.005035760188790634
-93.84999999999999,-0.005035760188790634
-93.825,-0.005035760188790634
-93.8,-0.005035760188790634
-93.77500000000001,-0.005035760188790634
-93.75,-0.005035760188790634
-93.72499999999999,-0.005035760188790634
-93.7,-0.005035760188790634
-93.675,-0.005035760188790634
-93.65000000000001,-0.005035760188790634
-93.625,-0.005035760188790634
-93.59999999999999,-0.005035760188790634
-93.575,-0.005035760188790634
-93.55,-0.005035760188790634
-93.52500000000001,-0.005035760188790634
-93.5,-0.005035760188790634
-93.47499999999999,-0.005035760188790634
-93.45,-0.005035760188790634
-93.425,-0.005035760188790634
-93.40000000000001,-0.005035760188790634
-93.375,-0.005035760188790634
-93.34999999999999,-0.005035760188790634
-93.325,-0.005035760188790634
-93.3,-0.005035760188790634
-93.27500000000001,-0.005035760188790634
-93.25,-0.005035760188790634
-93.22499999999999,-0.005035760188790634
-93.2,-0.005035760188790634
-93.175,-0.005035760188790634
-93.15000000000001,-0.005035760188790634
-93.125,-0.005035760188790634
-93.09999999999999,-0.005035760188790634
-93.075,-0.005035760188790634
-93.05,-0.008707414658292025
-93.02500000000001,-0.005035760188790634
-93,-0.005035760188790634
-92.97499999999999,-0.005035760188790634
-92.95,-0.005035760188790634
-92.925,-0.005035760188790634
-92.90000000000001,-0.005035760188790634
-92.875,-0.005035760188790634
-92.84999999999999,-0.005035760188790634
-92.825,-0.005035760188790634
-92.8,-0.005035760188790634
-92.77500000000001,-0.005035760188790634
-92.75,-0.005035760188790634
-92.72499999999999,-0.005035760188790634
-92.7,-0.005035760188790634
-92.675,-0.005035760188790634
-92.65000000000001,-0.005035760188790634
-92.625,-0.005035760188790634
-92.59999999999999,-0.005035760188790634
-92.575,-0.005035760188790634
-92.55,-0.005035760188790634
-92.52500000000001,-0.005035760188790634
-92.5,-0.005035760188790634
-92.47499999999999,-0.005035760188790634
-92.45,-0.005035760188790634
-92.425,-0.005035760188790634
-92.40000000000001,-0.005035760188790634
-92.375,-0.005035760188790634
-92.34999999999999,-0.005035760188790634
-92.325,-0.005035760188790634
-92.3,-0.005035760188790634
-92.27500000000001,-0.005035760188790634
-92.25,-0.005035760188790634
-92.22499999999999,-0.005035760188790634
-92.2,-0.005035760188790634
-92.175,-0.005035760188790634
-92.15000000000001,-0.005035760188790634
-92.125,-0.005035760188790634
-92.09999999999999,-0.005035760188790634
-92.075,-0.005035760188790634
-92.05,-0.005035760188790634
-92.02500000000001,-0.005035760188790634
-92,-0.005035760188790634
-91.97499999999999,-0.005035760188790634
-91.95,-0.005035760188790634
-91.925,-0.005035760188790634
-91.90000000000001,-0.005035760188790634
-91.875,-0.005035760188790634
-91.84999999999999,-0.005035760188790634
-91.825,-0.005035760188790634
-91.8,-0.005035760188790634
-91.77500000000001,-0.005035760188790634
-91.75,-0.005035760188790634
-91.72499999999999,-0.005035760188790634
-91.7,-0.005035760188790634
-91.675,-0.005035760188790634
-91.65000000000001,-0.005035760188790634
-91.625,-0.005035760188790634
-91.59999999999999,-0.005035760188790634
-91.575,-0.005035760188790634
-91.55,-0.005035760188790634
-91.52500000000001,-0.005035760188790634
-91.5,-0.005035760188790634
-91.47499999999999,-0.005035760188790634
-91.45,-0.005035760188790634
-91.425,-0.005035760188790634
-91.40000000000001,-0.005035760188790634
-91.375,-0.005035760188790634
-91.34999999999999,-0.005035760188790634
-91.325,-0.005035760188790634
-91.3,-0.005035760188790634
-91.27500000000001,-0.005035760188790634
-91.25,-0.01237906912779341
-91.22499999999999,-0.01237906912779341
-91.2,-0.0197223780667962
-91.175,-0.0197223780667962
-91.15000000000001,-0.0197223780667962
-91.125,-0.01605072359729481
-91.09999999999999,-0.0197223780667962
-91.075,-0.0197223780667962
-91.05,-0.0197223780667962
-91.02500000000001,-0.0197223780667962
-91,-0.0197223780667962
-90.97499999999999,-0.0197223780667962
-90.95,-0.0197223780667962
-90.925,-0.0197223780667962
-90.90000000000001,-0.0197223780667962
-90.875,-0.0197223780667962
-90.84999999999999,-0.0197223780667962
-90.825,-0.0197223780667962
-90.8,-0.0197223780667962
-90.77500000000001,-0.0197223780667962
-90.75,-0.0197223780667962
-90.72499999999999,-0.01605072359729481
-90.7,-0.0197223780667962
-90.675,-0.0197223780667962
-90.65000000000001,-0.0197223780667962
-90.625,-0.0197223780667962
-90.59999999999999,-0.0197223780667962
-90.575,-0.0197223780667962
-90.55,-0.0197223780667962
-90.52500000000001,-0.0197223780667962
-90.5,-0.0197223780667962
-90.47499999999999,-0.0197223780667962
-90.45,-0.0197223780667962
-90.425,-0.0197223780667962
-90.40000000000001,-0.0197223780667962
-90.375,-0.0197223780667962
-90.34999999999999,-0.0197223780667962
-90.325,-0.0197223780667962
-90.3,-0.0197223780667962
-90.27500000000001,-0.0197223780667962
-90.25,-0.0197223780667962
-90.22499999999999,-0.0197223780667962
-90.2,-0.01605072359729481
-90.175,-0.01605072359729481
-90.15000000000001,-0.01605072359729481
-90.125,-0.01605072359729481
-90.09999999999999,-0.01605072359729481
-90.075,-0.01605072359729481
-90.05,-0.01605072359729481
-90.02500000000001,-0.01605072359729481
-90,-0.01605072359729481
-89.97499999999999,-0.01605072359729481
-89.95,-0.01605072359729481
-89.925,-0.01605072359729481
