Time (s),I_meas (mA)
1.85,33.06239296759497
1.86,33.06239296759497
1.87,33.06239296759497
1.88,33.06239296759497
1.89,33.06239296759497
1.9,33.06239296759497
1.91,33.06239296759497
1.92,33.06239296759497
1.93,33.06239296759497
1.94,33.06239296759497
1.95,33.06239296759497
1.96,33.06239296759497
1.97,33.06239296759497
1.98,33.06239296759497
1.99,31.38388498425653
2,31.38388498425653
2.01,31.38388498425653
2.02,31.38388498425653
2.03,31.38388498425653
2.04,31.38388498425653
2.05,31.38388498425653
2.06,31.38388498425653
2.07,31.38388498425653
2.08,31.38388498425653
2.09,31.38388498425653
2.1,31.38388498425653
2.11,31.38388498425653
2.12,31.38388498425653
2.13,31.38388498425653
2.14,31.38388498425653
2.15,31.38388498425653
2.16,33.06239296759497
2.17,31.38388498425653
2.18,31.38388498425653
2.19,31.38388498425653
2.2,31.38388498425653
2.21,31.38388498425653
2.22,33.06239296759497
2.23,31.38388498425653
2.24,31.38388498425653
2.25,31.38388498425653
2.26,33.06239296759497
2.27,31.38388498425653
2.28,31.38388498425653
2.29,31.38388498425653
2.3,31.38388498425653
2.31,31.38388498425653
2.32,31.38388498425653
2.33,33.06239296759497
2.34,31.38388498425653
2.35,31.38388498425653
2.36,33.06239296759497
2.37,33.06239296759497
2.38,31.38388498425653
2.39,33.06239296759497
2.4,33.06239296759497
2.41,33.06239296759497
2.42,33.06239296759497
2.43,33.06239296759497
2.44,33.06239296759497
2.45,33.06239296759497
2.46,33.06239296759497
2.47,33.06239296759497
2.48,33.06239296759497
2.49,33.06239296759497
2.5,33.06239296759497
2.51,33.06239296759497
2.52,31.38388498425653
2.53,33.06239296759497
2.54,33.06239296759497
2.55,38.09791691761028
2.56,41.45493288428715
2.57,41.45493288428715
2.58,41.45493288428715
2.59,41.45493288428715
2.6,41.45493288428715
2.61,41.45493288428715
2.62,41.45493288428715
2.63,41.45493288428715
2.64,41.45493288428715
2.65,41.45493288428715
2.66,41.45493288428715
2.67,41.45493288428715
2.68,41.45493288428715
2.69,41.45493288428715
2.7,41.45493288428715
2.71,41.45493288428715
2.72,41.45493288428715
2.73,41.45493288428715
2.74,41.45493288428715
2.75,41.45493288428715
2.76,41.45493288428715
2.77,41.45493288428715
2.78,41.45493288428715
2.79,41.45493288428715
2.8,41.45493288428715
2.81,41.45493288428715
2.82,41.45493288428715
2.83,41.45493288428715
2.84,41.45493288428715
2.85,41.45493288428715
2.86,41.45493288428715
2.87,41.45493288428715
2.88,41.45493288428715
2.89,41.45493288428715
2.9,41.45493288428715
2.91,41.45493288428715
2.92,41.45493288428715
2.93,41.45493288428715
2.94,41.45493288428715
2.95,41.45493288428715
2.96,41.45493288428715
2.97,41.45493288428715
2.98,41.45493288428715
2.99,41.45493288428715
3,41.45493288428715
3.01,41.45493288428715
3.02,41.45493288428715
3.03,41.45493288428715
3.04,41.45493288428715
3.05,41.45493288428715
3.06,41.45493288428715
3.07,41.45493288428715
3.08,41.45493288428715
3.09,41.45493288428715
3.1,41.45493288428715
3.11,41.45493288428715
3.12,41.45493288428715
3.13,41.45493288428715
3.14,41.45493288428715
3.15,41.45493288428715
3.16,41.45493288428715
3.17,41.45493288428715
3.18,41.45493288428715
3.19,41.45493288428715
3.2,41.45493288428715
3.21,41.45493288428715
3.22,41.45493288428715
3.23,41.45493288428715
3.24,41.45493288428715
3.25,41.45493288428715
3.26,41.45493288428715
3.27,41.45493288428715
3.28,41.45493288428715
3.29,41.45493288428715
3.3,41.45493288428715
3.31,41.45493288428715
3.32,41.45493288428715
3.33,41.45493288428715
3.34,41.45493288428715
3.35,41.45493288428715
3.36,41.45493288428715
3.37,41.45493288428715
3.38,41.45493288428715
3.39,41.45493288428715
3.4,41.45493288428715
3.41,41.45493288428715
3.42,41.45493288428715
3.43,41.45493288428715
3.44,41.45493288428715
3.45,41.45493288428715
3.46,41.45493288428715
3.47,41.45493288428715
3.48,41.45493288428715
3.49,41.45493288428715
3.5,41.45493288428715
3.51,41.45493288428715
3.52,41.45493288428715
3.53,41.45493288428715
3.54,41.45493288428715
3.55,36.41940893427184
3.56,33.06239296759497
3.57,33.06239296759497
3.58,33.06239296759497
3.59,33.06239296759497
3.6,33.06239296759497
3.61,33.06239296759497
3.62,33.06239296759497
3.63,33.06239296759497
3.64,33.06239296759497
3.65,33.06239296759497
3.66,33.06239296759497
3.67,33.06239296759497
3.68,33.06239296759497
3.69,33.06239296759497
3.7,33.06239296759497
3.71,33.06239296759497
3.72,33.06239296759497
3.73,33.06239296759497
3.74,33.06239296759497
3.75,33.06239296759497
3.76,33.06239296759497
3.77,33.06239296759497
3.78,33.06239296759497
3.79,33.06239296759497
3.8,33.06239296759497
3.81,33.06239296759497
3.82,33.06239296759497
3.83,33.06239296759497
3.84,33.06239296759497
3.85,33.06239296759497
3.86,33.06239296759497
3.87,33.06239296759497
3.88,33.06239296759497
3.89,33.06239296759497
3.9,33.06239296759497
3.91,33.06239296759497
3.92,33.06239296759497
3.93,33.06239296759497
3.94,33.06239296759497
3.95,33.06239296759497
3.96,33.06239296759497
3.97,33.06239296759497
3.98,33.06239296759497
3.99,33.06239296759497
4,33.06239296759497
4.01,33.06239296759497
4.02,33.06239296759497
4.03,33.06239296759497
4.04,33.06239296759497
4.05,33.06239296759497
4.06,33.06239296759497
4.07,33.06239296759497
4.08,33.06239296759497
4.09,33.06239296759497
4.1,33.06239296759497
4.11,33.06239296759497
4.12,33.06239296759497
4.13,33.06239296759497
4.14,31.38388498425653
4.15,31.38388498425653
4.16,33.06239296759497
4.17,33.06239296759497
4.18,33.06239296759497
4.19,33.06239296759497
4.2,33.06239296759497
4.21,31.38388498425653
4.22,33.06239296759497
4.23,33.06239296759497
4.24,33.06239296759497
4.25,33.06239296759497
